date,country,value,days_since100,perc_growth,cases_per1m,cases_perICU
2020-03-17,Italy,31506,23,1.1260185847033595,520.3296610284958,
2020-03-18,Italy,35713,24,1.1335301212467466,589.8093437539095,
2020-03-19,Italy,41035,25,1.1490213647691316,677.703537113703,
2020-03-20,Italy,47021,26,1.145875472157914,776.5638605732528,
2020-03-21,Italy,53578,27,1.1394483315965207,884.854395308346,
2020-03-22,Italy,59138,28,1.1037739370637203,976.6792196376305,
2020-03-23,Italy,63927,29,1.080980080489702,1055.7707814565051,
2020-03-24,Italy,69176,30,1.0821092808985249,1142.4593611155726,
2020-03-25,Italy,74386,31,1.0753151381982191,1228.503845783841,
2020-03-26,Italy,80589,32,1.0833893474578549,1330.9479798332206,
2020-03-27,Italy,86498,33,1.0733226619017484,1428.536628567347,
2020-03-28,Italy,92472,34,1.0690651806978195,1527.1987689528048,
2020-03-29,Italy,97689,35,1.0564170776018686,1613.3588604142935,
2020-03-30,Italy,101739,36,1.04145809661272,1680.245647920337,
2020-03-31,Italy,105792,37,1.039837230560552,1747.1819811949035,
2020-04-01,Italy,110574,38,1.0452019056261344,1826.157936220558,
2020-04-02,Italy,115242,39,1.042216072494438,1903.2511520423386,
2020-04-03,Italy,119827,40,1.0397858419673383,1978.9736016016495,
2020-02-20,"Korea, South",104,0,,2.030246455521556,
2020-02-21,"Korea, South",204,1,1.9615384615384615,3.9824065089076672,
2020-02-22,"Korea, South",433,2,2.122549019607843,8.452853031161863,
2020-02-23,"Korea, South",602,3,1.3903002309468822,11.752003521384392,
2020-02-24,"Korea, South",833,4,1.3837209302325582,16.26149324470631,
2020-02-25,"Korea, South",977,5,1.1728691476590636,19.072603721582308,
2020-02-26,"Korea, South",1261,6,1.2906857727737973,24.616738273198866,
2020-02-27,"Korea, South",1766,7,1.4004758128469468,34.475146542798726,
2020-02-28,"Korea, South",2337,8,1.3233295583238958,45.621980447633426,
2020-02-29,"Korea, South",3150,9,1.3478818998716302,61.49304168166251,
2020-03-01,"Korea, South",3736,10,1.186031746031746,72.93269959450512,
2020-03-02,"Korea, South",4335,11,1.1603319057815846,84.62613831428793,
2020-03-03,"Korea, South",5186,12,1.1963091118800462,101.23902036860375,
2020-03-04,"Korea, South",5621,13,1.0838796760509062,109.73091660083332,
2020-03-05,"Korea, South",6088,14,1.0830813022593844,118.84750405014647,
2020-03-06,"Korea, South",6593,15,1.0829500657030224,128.70591231974632,
2020-03-07,"Korea, South",7041,16,1.067950856969513,137.4515893589161,
2020-03-08,"Korea, South",7314,17,1.0387729015764806,142.7809863046602,
2020-03-09,"Korea, South",7478,18,1.0224227508887065,145.98252879221343,
2020-03-10,"Korea, South",7513,19,1.0046803958277615,146.66578481089854,
2020-03-11,"Korea, South",7755,20,1.0322108345534406,151.39001214009295,
2020-03-12,"Korea, South",7869,21,1.0147001934235977,153.61547460095312,
2020-03-13,"Korea, South",7979,22,1.013978904562206,155.76285065967784,
2020-03-14,"Korea, South",8086,23,1.0134102017796716,157.85166191680096,
2020-03-15,"Korea, South",8162,24,1.0093989611674499,159.33530355737443,
2020-03-16,"Korea, South",8236,25,1.0090664052928204,160.77990199688014,
2020-03-17,"Korea, South",8320,26,1.010199125789218,162.41971644172446,
2020-03-18,"Korea, South",8413,27,1.0111778846153847,164.23522529137355,
2020-03-19,"Korea, South",8565,28,1.018067276833472,167.20250857252046,
2020-03-20,"Korea, South",8652,29,1.0101576182136602,168.90088781896637,
2020-03-21,"Korea, South",8799,30,1.016990291262136,171.77056309744395,
2020-03-22,"Korea, South",8961,31,1.0184111830889875,174.93306238392944,
2020-03-23,"Korea, South",8961,32,1.0,174.93306238392944,
2020-03-24,"Korea, South",9037,33,1.0084811962950564,176.4167040245029,
2020-03-25,"Korea, South",9137,34,1.0110656191213898,178.36886407788901,
2020-03-26,"Korea, South",9241,35,1.011382291780672,180.39911053341055,
2020-03-27,"Korea, South",9332,36,1.0098474191104858,182.17557618199191,
2020-03-28,"Korea, South",9478,37,1.0156450921560223,185.02572985993564,
2020-03-29,"Korea, South",9583,38,1.0110782865583456,187.07549791599106,
2020-03-30,"Korea, South",9661,39,1.008139413544819,188.59818275763223,
2020-03-31,"Korea, South",9786,40,1.01293861919056,191.03838282436487,
2020-04-01,"Korea, South",9887,41,1.0103208665440424,193.01006447828485,
2020-04-02,"Korea, South",9976,42,1.009001719429554,194.74748692579848,
2020-04-03,"Korea, South",10062,43,1.0086206896551724,196.42634457171053,
2020-03-02,Spain,120,0,,2.567571199177282,0.025675711991772817
2020-03-03,Spain,165,1,1.375,3.5304103988687623,0.03530410398868762
2020-03-04,Spain,222,2,1.3454545454545455,4.750006718477971,0.04750006718477971
2020-03-05,Spain,259,3,1.1666666666666667,5.541674504890967,0.055416745048909664
2020-03-06,Spain,400,4,1.5444015444015444,8.558570663924273,0.08558570663924273
2020-03-07,Spain,500,5,1.25,10.698213329905341,0.1069821332990534
2020-03-08,Spain,673,6,1.346,14.39979514205259,0.14399795142052588
2020-03-09,Spain,1073,7,1.5943536404160477,22.95836580597686,0.2295836580597686
2020-03-10,Spain,1695,8,1.5796831314072692,36.2669431883791,0.362669431883791
2020-03-11,Spain,2277,9,1.343362831858407,48.71966350438892,0.4871966350438892
2020-03-12,Spain,2277,10,1.0,48.71966350438892,0.4871966350438892
2020-03-13,Spain,5232,11,2.297760210803689,111.94610428412949,1.1194610428412948
